 
****************************************
Report : cell
Design : mem_system
Version: Q-2019.12-SP3
Date   : Sun Apr 25 16:03:03 2021
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
RD_ff                     dff_254                         11.732500 h, n
m_data_in_reg<2>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<3>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<4>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<5>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<6>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<7>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<8>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<9>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<10>         LATCH           gscl45nm        5.162300  n
m_data_in_reg<11>         LATCH           gscl45nm        5.162300  n
m_data_in_reg<12>         LATCH           gscl45nm        5.162300  n
m_data_in_reg<13>         LATCH           gscl45nm        5.162300  n
m_data_in_reg<14>         LATCH           gscl45nm        5.162300  n
m_data_in_reg<15>         LATCH           gscl45nm        5.162300  n
mem                       four_bank_mem                   22520.767988
                                                                    h, n
state_ff[0]               dff_248                         11.732500 h, n
state_ff[1]               dff_249                         11.732500 h, n
state_ff[2]               dff_250                         11.732500 h, n
state_ff[3]               dff_251                         11.732500 h, n
state_ff[4]               dff_252                         11.732500 h, n
vic_tag_reg<0>            LATCH           gscl45nm        5.162300  n
vic_tag_reg<1>            LATCH           gscl45nm        5.162300  n
vic_tag_reg<2>            LATCH           gscl45nm        5.162300  n
vic_tag_reg<3>            LATCH           gscl45nm        5.162300  n
vic_tag_reg<4>            LATCH           gscl45nm        5.162300  n
--------------------------------------------------------------------------------
Total 527 cells                                           72425.190552
1
